city,hex,auc_flood
phoenix,8829b6d1d5fffff,0.0
phoenix,8829b6da4dfffff,0.0
phoenix,8829b6d81dfffff,0.0
phoenix,8829b6d819fffff,0.0
phoenix,8829b6d811fffff,0.0
phoenix,8829b6d8e7fffff,0.0
phoenix,8829b6d8adfffff,0.0
phoenix,8829b6d817fffff,0.0
phoenix,8829b6d8edfffff,0.0
phoenix,8829b6d8e9fffff,0.0
phoenix,8829b6d8e1fffff,0.0
phoenix,8829b6d857fffff,8.344650268554688e-07
phoenix,8829b6d8cdfffff,0.0
phoenix,8848eba4a3fffff,0.0
phoenix,8829b6daa7fffff,0.0
phoenix,8829b6daa5fffff,0.0
phoenix,8848eba4abfffff,0.0
phoenix,8829b6d8c7fffff,0.0
phoenix,8829b6d8ebfffff,0.0
phoenix,8829b6d88dfffff,0.0
phoenix,8848eba4b5fffff,0.0
